Time,Voltage,Current
16:56:02,6.46,97
16:57:05,6.46,97
16:58:08,6.46,96.19
16:59:12,6.11,32.29
17:00:15,6.06,25.5
17:01:18,6.14,25.39
17:02:22,6.18,26.2
17:03:25,6.67,91.4
17:04:28,6.18,25.1
17:05:31,6.09,25.1
17:06:35,6.11,25.7
17:07:38,6.12,26.1
17:08:41,6.17,28.6
17:09:45,6.55,90.59
17:10:48,6.08,26.1
17:11:51,6.08,24.2
17:12:55,6.1,23.6
17:13:58,6.1,23.79
17:15:01,6.28,36.29
17:16:05,6.13,25.2
17:17:08,6.14,25.6
17:18:11,6.14,25.29
17:19:14,6.15,25.29
17:20:18,6.15,25.39
17:21:21,6.15,25.5
17:22:24,6.18,27.39
17:23:28,6.35,45.9
17:24:31,6.14,26.5
17:25:34,6.14,25.89
17:26:38,6.12,25.1
17:27:41,6.1,23.6
17:28:44,6.1,23.39
17:29:47,6.54,85.09
17:30:51,6.13,27.89
17:31:54,6.18,31.2
17:32:57,6.45,71.9
17:34:01,6.04,26.79
17:35:04,6.21,37.79
17:36:07,6.09,25.5
17:37:11,6.14,31.79
17:38:14,6.1,25.39
17:39:17,6.1,25.1
17:40:21,6.1,25.79
17:41:24,6.1,24
17:42:27,6.1,22.79
17:43:30,6.07,20.79
17:44:34,6.07,20.29
17:45:37,6.03,18.39
17:46:40,6.01,17.1
