Time,Voltage,Current(mA),Current(A),Power(W=J/s),Energy (J)
16:55:49,6.58,76.4,0.076,5.84,350.22
16:56:52,6.51,52.79,0.053,2.79,167.21
16:57:55,6.43,80.19,0.080,6.43,385.83
16:58:59,6.59,111.9,0.112,12.52,751.30
17:00:02,6.47,90.69,0.091,8.22,493.48
17:01:05,6.51,102,0.102,10.40,624.24
17:02:08,6.24,53,0.053,2.81,168.54
17:03:12,6.54,126.69,0.127,16.05,963.02
17:04:15,6.5,93.3,0.093,8.70,522.29
17:05:18,6.43,88.8,0.089,7.89,473.13
17:06:22,6.36,79.69,0.080,6.35,381.03
17:07:25,6.31,71.09,0.071,5.05,303.23
17:08:28,6.3,65.5,0.066,4.29,257.42
17:09:32,6.21,54.4,0.054,2.96,177.56
17:10:35,6.32,64.3,0.064,4.13,248.07
17:11:38,5.81,15.3,0.015,0.23,14.05
17:12:41,5.79,13.19,0.013,0.17,10.44
17:13:45,6.44,93.3,0.093,8.70,522.29
17:14:48,6.36,74.9,0.075,5.61,336.60
17:15:51,5.97,26,0.026,0.68,40.56
17:16:55,6,23.89,0.024,0.57,34.24
17:17:58,5.95,22.29,0.022,0.50,29.81
17:19:01,6.02,25.7,0.026,0.66,39.63
17:20:05,6.5,88.69,0.089,7.87,471.95
17:21:08,6.42,89.19,0.089,7.95,477.29
17:22:11,6.42,98.4,0.098,9.68,580.95
17:23:14,6.36,66,0.066,4.36,261.36
17:24:18,6.34,64.69,0.065,4.18,251.09
17:25:21,6.34,67.9,0.068,4.61,276.62
17:26:24,6.33,72,0.072,5.18,311.04
17:27:28,6.29,73.09,0.073,5.34,320.53
17:28:31,6.23,71.09,0.071,5.05,303.23
17:29:34,6.22,69.59,0.070,4.84,290.57
17:30:38,6.26,72.9,0.073,5.31,318.86
17:31:41,6.26,78.3,0.078,6.13,367.85
17:32:44,6.25,80.9,0.081,6.54,392.69
17:33:47,6.21,79.9,0.080,6.38,383.04
17:34:51,6.19,73.3,0.073,5.37,322.37
17:35:54,6.21,71.3,0.071,5.08,305.02
17:36:57,6.14,56.2,0.056,3.16,189.51
17:38:01,6.21,62.29,0.062,3.88,232.80
,,,,,
