Time,Voltage,Current
17:16:31,6.64,94.5
17:16:44,6.51,64.4
17:16:57,6.52,76.0
17:17:10,6.6,91.69
17:17:23,6.32,52.0
17:17:36,6.43,54.2
17:17:49,6.08,25.5
17:18:02,6.06,23.79
17:18:15,6.05,23.2
17:18:29,6.05,22.29
17:18:42,6.04,21.5
17:18:55,6.03,21.0
17:19:08,6.03,20.7
17:19:21,6.03,20.5
17:19:34,6.04,20.39
17:19:47,6.04,20.5
17:20:00,6.06,20.7
17:20:13,6.06,21.0
17:20:26,6.07,21.2
17:20:39,6.08,21.39
17:20:52,6.09,21.6
17:21:05,6.12,22.5
17:21:18,6.14,23.7
17:21:31,6.05,26.89
17:21:44,6.06,28.1
17:21:58,6.12,30.89
17:22:11,6.12,32.0
17:22:24,6.16,38.09
17:22:37,6.39,63.29
17:22:50,6.42,74.69
17:23:03,6.3,56.5
17:23:16,6.46,90.69
17:23:29,6.4,76.69
17:23:42,6.46,100.59
17:23:55,6.44,101.59
17:24:08,6.44,105.5
17:24:21,6.41,105.69
17:24:34,6.4,106.3
17:24:47,6.38,106.69
17:25:00,6.36,106.8
17:25:14,6.35,74.9
17:25:27,6.34,75.09
17:25:40,6.34,75.19
17:25:53,6.32,75.4
17:26:06,6.31,75.5
17:26:19,6.3,75.59
17:26:32,6.29,75.5
17:26:45,6.28,75.69
17:26:59,6.29,76.09
17:27:12,6.28,75.69
17:27:25,6.25,71.19
17:27:38,5.96,30.39
17:27:51,6.28,72.59
17:28:04,6.29,74.9
17:28:17,6.28,75.8
17:28:30,6.28,76.8
17:28:43,6.26,77.19
17:28:56,6.22,71.9
17:29:09,6.2,71.0
17:29:22,6.14,61.0
17:29:35,5.96,40.7
17:29:48,5.99,44.4
17:30:01,6.22,75.5
17:30:15,6.21,76.8
17:30:28,6.2,77.0
17:30:41,6.19,74.9
17:30:54,6.17,69.9
17:31:07,6.06,60.4
17:31:20,5.74,21.89
17:31:33,5.7,19.39
17:31:46,5.75,20.29
17:31:59,5.88,26.5
17:32:12,5.84,24.79
17:32:25,5.87,23.39
17:32:38,5.81,20.79
17:32:51,6.2,54.59
17:33:04,6.3,69.0
17:33:18,6.03,34.79
17:33:30,6.11,36.79
17:33:44,6.15,48.2
17:33:57,6.32,73.59
17:34:10,5.8,19.0
17:34:23,5.82,18.89
17:34:36,5.84,19.0
17:34:49,5.91,34.2
17:35:02,6.33,91.0
17:35:15,6.28,85.19
17:35:28,6.34,105.3
17:35:41,6.33,74.3
17:35:54,6.31,74.69
17:36:07,6.29,74.9
17:36:20,6.28,74.9
17:36:33,6.26,74.9
17:36:49,6.24,74.3
17:37:02,6.23,74.3
17:37:15,6.22,74.3
17:37:28,6.22,74.09
17:37:41,6.21,74.0
17:37:54,6.21,73.69
17:38:07,6.21,73.5
17:38:20,6.2,73.3
17:38:33,6.2,72.8
17:38:46,6.19,72.4
17:38:59,6.19,72.19
17:39:12,6.18,71.8
17:39:26,6.19,71.4
17:39:39,6.18,71.19
17:39:52,6.18,70.69
17:40:05,6.18,70.59
17:40:18,6.17,70.3
17:40:31,6.18,70.0
17:40:44,6.19,69.69
17:40:57,6.2,69.4
17:41:10,6.19,69.3
17:41:23,6.18,69.09
17:41:36,6.17,69.09
17:41:49,6.18,69.0
17:42:02,6.2,68.69
17:42:15,6.2,68.5
17:42:28,6.2,68.5
17:42:42,6.2,68.19
17:42:55,6.2,68.19
17:43:08,6.2,68.3
17:43:21,6.2,68.09
17:43:34,6.21,68.3
17:43:47,6.21,67.4
17:44:00,6.2,67.69
17:44:13,6.19,62.79
17:44:26,6.18,63.7
17:44:39,6.21,67.5
17:44:52,6.22,67.9
17:45:05,6.22,67.69
17:45:18,6.23,67.8
